Node	In	Out	Rank_1	Rank_2	Rank_3
462	1	1	0.000047	0.247085	0.150024	0.000029
463	2	2	0.000070	0.367871	0.150188	0.000029
464	4	4	0.000111	0.585715	0.150227	0.000029
465	12	12	0.000377	1.980813	0.153339	0.000029
466	13	13	0.000366	1.921879	0.152136	0.000029
467	1	1	0.000048	0.251738	0.150022	0.000029
468	5	5	0.000145	0.759914	0.150422	0.000029
469	12	12	0.000244	1.283218	0.150414	0.000029
470	1	1	0.000051	0.267359	0.150034	0.000029
471	1	1	0.000059	0.310502	0.150155	0.000029
472	34	34	0.000708	3.720435	0.158325	0.000030
473	1	1	0.000074	0.389181	0.150836	0.000029
474	12	12	0.000345	1.814667	0.153616	0.000029
475	1	1	0.000190	1.000000	0.151236	0.000029
476	1	1	0.000067	0.350939	0.150125	0.000029
477	71	71	0.001500	7.880564	0.167236	0.000032
478	3	3	0.000099	0.519575	0.150355	0.000029
479	7	7	0.000176	0.923296	0.151118	0.000029
480	6	6	0.000149	0.783892	0.150961	0.000029
481	2	2	0.000110	0.578214	0.150622	0.000029
482	1	1	0.000049	0.259283	0.150003	0.000029
483	8	8	0.000172	0.906110	0.150153	0.000029
484	8	8	0.000186	0.977093	0.150227	0.000029
485	6	6	0.000144	0.758647	0.150108	0.000029
486	1	1	0.000190	1.000000	0.151236	0.000029
487	1	1	0.000048	0.251029	0.150023	0.000029
488	3	3	0.000087	0.456807	0.150198	0.000029
489	1	1	0.000069	0.360755	0.150310	0.000029
490	6	6	0.000238	1.252650	0.152036	0.000029
491	12	12	0.000259	1.358673	0.150847	0.000029
492	16	16	0.000396	2.082640	0.153871	0.000029
493	2	2	0.000063	0.329171	0.150014	0.000029
494	3	3	0.000122	0.639217	0.151935	0.000029
495	1	1	0.000190	1.000000	0.150615	0.000029
496	1	1	0.000078	0.410531	0.150274	0.000029
497	3	3	0.000119	0.624340	0.151358	0.000029
498	1	1	0.000047	0.247930	0.150034	0.000029
499	7	7	0.000184	0.968532	0.150448	0.000029
500	1	1	0.000055	0.289528	0.150048	0.000029
501	4	4	0.000105	0.553058	0.150368	0.000029
502	2	2	0.000132	0.692324	0.150787	0.000029
503	9	9	0.000291	1.529942	0.153197	0.000029
504	1	1	0.000048	0.252704	0.150021	0.000029
505	3	3	0.000124	0.651535	0.151924	0.000029
506	77	77	0.001563	8.212981	0.160388	0.000031
507	1	1	0.000047	0.249413	0.150035	0.000029
508	8	8	0.000166	0.874107	0.150264	0.000029
509	2	2	0.000078	0.407802	0.150473	0.000029
510	7	7	0.000235	1.235656	0.152090	0.000029
511	2	2	0.000087	0.455959	0.150316	0.000029
512	1	1	0.000050	0.260432	0.150016	0.000029
513	1	1	0.000049	0.259168	0.150035	0.000029
514	1	1	0.000190	1.000000	0.150615	0.000029
515	68	68	0.001327	6.972603	0.159841	0.000030
516	2	2	0.000069	0.362294	0.150051	0.000029
517	1	1	0.000054	0.284404	0.150040	0.000029
518	2	2	0.000079	0.413687	0.150144	0.000029
519	1	1	0.000045	0.237544	0.150005	0.000029
520	5	5	0.000124	0.652068	0.150729	0.000029
521	1	1	0.000051	0.266603	0.150017	0.000029
522	13	13	0.000354	1.859704	0.152687	0.000029
523	8	8	0.000183	0.958867	0.150225	0.000029
524	4	4	0.000124	0.650222	0.150384	0.000029
525	17	17	0.000367	1.928821	0.151914	0.000029
526	2	2	0.000172	0.904711	0.151438	0.000029
527	2	2	0.000066	0.344636	0.150040	0.000029
528	2	2	0.000278	1.459459	0.151228	0.000029
529	1	1	0.000048	0.252880	0.150011	0.000029
530	6	6	0.000246	1.289986	0.151457	0.000029
531	18	18	0.000425	2.230621	0.158822	0.000030
532	14	14	0.000293	1.538366	0.151048	0.000029
